Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Bug of),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Parent-Child),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Outward issue link (Workaround),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Browsers),Custom field (Browsers),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OLDCapitalizedOLD),Custom field (OS),Custom field (OSes),Custom field (OSes),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Slug Editing Impact Warning,AR-664,103551,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,18/May/15 11:15 AM,30/Jan/17 3:36 PM,03/May/19 9:53 AM,28/May/15 2:31 PM,,,,,,,,,0,,"As a user, I want to be reminded of the seo impact that comes with changing my content slug so that I don't break links to my content.",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can edit content slug
If content is already published, selecting ""edit"" displays the following warning to user ""Editing your slug will impact SEO and break existing links to this content. Do you want to continue?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzolcv:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,1.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Related Content List for Collections,AR-662,103544,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,18/May/15 10:56 AM,16/Jul/15 6:44 PM,03/May/19 9:53 AM,16/Jul/15 6:44 PM,,,,,,,,,0,,"As a user, I want to assign related content to a piece of content I am publishing so that the related items display in conjunction with my content on the front end.",,1110204,aroberts,,,,,,,,,,,,,,,,,,,AR-661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In all collections, include area for related content
Allow users to lookup and add:
-Content Tool Endpoints (Articles, Galleries Etc)
-Collection Endpoints
-Catalog Endpoints?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbfjz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _10_JETPLOW,RadioEdit _11_KONGUR,RadioEdit _12_LANDSHARK,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,15/Jul/15 8:14 PM;aroberts;Visible at http://v-ce6ea770.radioedit.qa.cloud.ihr/,,,,,,,,,
Related Content List for Content items,AR-661,103541,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,18/May/15 10:55 AM,28/May/15 6:49 PM,03/May/19 9:53 AM,28/May/15 6:49 PM,,,,,,,,,0,,"As a user, I want to assign related content to a piece of content I am publishing so that the related items display in conjunction with my content on the front end.",,1110204,aroberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In all content creation screens, include area for related content
Allow users to lookup and add:
-Content Tool Endpoints (Articles, Galleries Etc)
-Collection Endpoints
-Catalog Endpoints?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzolc7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,3.0,,,,,,Yes,,,,,,,,,,,,,,"27/May/15 10:14 PM;aroberts;Currently content-only, since collections is borked.
Visible at http://v-60cdb124.radioedit.qa.cloud.ihr/",28/May/15 5:14 PM;1110204;Separate ticket for adding catalog items to related section,,,,,,,,
Vendor XML ingestion,AR-660,103537,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,18/May/15 10:31 AM,16/Oct/15 6:40 PM,03/May/19 9:53 AM,16/Oct/15 6:40 PM,,,,,,,,,0,,As a user I want to ingest vendor content into the content tool so others can republish it to their collections.,,1110204,howella,tlong,,,,,,,,,,,,,,,,,,,,,,,,,AR-120,AR-335,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Create a workflow to ingest vendor content via XML in content tool.
Content should be distinguished from iHeart created content
User can add tags to vendor content to publish to collections

Vendor content currently licensed by iHeart
-http://www.zmonline.com/rss

-http://www.daveramsey.com/rss/view-feed/strFeeds/MyTmmo-WeDidIt-StupidTax-CrcSuccessStories-DaveSays

-http://www.steveharvey.com/news/feed/

-http://embed.sendtonews.com/rss?fk=uQq4cuE8&cid=5179&type=rss&thumbnails=1&body=1&sound=click&autoplay=off&width=600

-http://embed.sendtonews.com/rss?fk=kpx6002h&cid=5179&type=rss&thumbnails=1&body=1&sound=click&autoplay=off&width=600

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzam73:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _13_MAGNETIC,RadioEdit _15_OLYMPUS,RadioEdit _18_RONIN,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,15/Jun/15 8:17 PM;howella;to be looked at more in-depth by team in order to be able to point,"17/Jun/15 6:23 PM;tlong;new bucket, ""content.ingest"" (maybe?)

stored import history with guid

periodic import uses feedparser (python)

imports un-imported RSS feeds and places them in content with some preset tags","16/Oct/15 6:39 PM;1110204;XML content being ingested, however field mapping will need to be addressed when we build UI to manage feeds",,,,,,,
Content License Terms,AR-659,103535,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,18/May/15 10:26 AM,15/Sep/15 8:36 PM,03/May/19 9:53 AM,15/Sep/15 8:36 PM,,,,,,,,,0,,"As a national photo editor, I want to indicate which assets are available for specific uses so that usage is compliant with any agreement we may have in place.",,1110204,,,,,,,,,,,,,,,,,,,,REAP-1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Add new fields in the Asset Licensing section
Add a License End Date field
Add flags for the following usage types
-Editorial
-Promotional
-Sponsored
-Print Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziv1b:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inserted Assets (Additional WYSIWYG Work),AR-657,103530,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tlong,1110204,1110204,18/May/15 10:04 AM,09/Sep/15 4:40 PM,03/May/19 9:53 AM,09/Sep/15 4:40 PM,,,,,,,,,0,,"

Additional WYSIWYG Work",,1110204,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/May/15 10:08 AM;1110204;upload_thumb.jpg;https://jira.ihrint.com/secure/attachment/82894/upload_thumb.jpg,,,,,,,"
Additional WYSIWYG Work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziusv:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _13_MAGNETIC,RadioEdit _15_OLYMPUS,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,"09/Sep/15 2:32 PM;tlong;The 5 points in this story were done as part of the content WYSIWYG rewrite. We'll need a new story with a new definition for handling tags.

However, I don't think tagging should be done during content edit, it should be done during upload only. Additional tags for SEO can go on the image if they want but content creation should be easy.",09/Sep/15 4:37 PM;1110204;completing to account for additional content editor work. Will reticket asset tag portion once an implementation is decided on.,,,,,,,,
Adding new assets via the content tool,AR-656,103527,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,18/May/15 9:51 AM,12/Jan/17 3:40 PM,03/May/19 9:53 AM,06/Jul/15 4:29 PM,,,Content Tool,,,,,,0,,"As a user, I want to add new assets directly to my content without having to upload in the asset tool first so my workflow is simple.",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enable Drag and drop of local assets into content tool article body.
Upon save of content screen, save inserted assets to the asset tool.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzq1cn:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/Jun/15 8:51 PM;1110204;NOT NEEDED RIGHT NOW - FUTURE STATE,06/Jul/15 4:29 PM;1110204;ticket no longer relevant,,,,,,,,
Creating Custom Collections,AR-655,103509,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,howella,1110204,1110204,17/May/15 12:06 PM,10/Jul/15 7:08 PM,03/May/19 9:53 AM,10/Jul/15 7:08 PM,,,,,,,,,0,,"As a station admin,  I want to create a custom local news collection so that I can publish local news related to my market.",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow users to create collections and associated tags
Allow users to add ownership to a collection
Import tags for new collections into content tool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbk3z:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _09_IRATE MONK,RadioEdit _11_KONGUR,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,08/Jul/15 5:03 PM;1110204;[~con-ccrnyc1dot] Give this a try. Looks good in my tests with QA1 and QA2 accounts. I have them access to different tags.,08/Jul/15 5:13 PM;1110204;Please test creating new collections in content tool based on yesterdays demo and verify only permissioned users can use that collection.,,,,,,,,
Custom Tag Groups show related collection tags upon application to content,AR-654,103508,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,17/May/15 12:00 PM,22/Jul/15 8:31 PM,03/May/19 9:53 AM,22/Jul/15 8:31 PM,,,,,,,,,0,,"As a user, I want to see all the individual tags that are part of a tag group when that tag group is applied to a piece of content so that we can allow for opt-out by any of those tag owners for a given piece of content",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Applying tag groups to content also applies all collection tags that are part of that tag group to the publishing target field.
Allow users to remove tags for which they are permissioned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziuvj:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _09_IRATE MONK,RadioEdit _10_JETPLOW,RadioEdit _12_LANDSHARK,,,,,,,,,,1.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Custom Tag Group UI,AR-653,103507,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,17/May/15 11:56 AM,22/Jul/15 8:32 PM,03/May/19 9:53 AM,22/Jul/15 8:32 PM,,,,,,,,,0,,"As a National User, I want to create custom groups of tags so that I can push content (i.e. contest and national promotions) to a group of station pages without adding each station publishing target on each piece of content.",,1110204,tlong,,,,,,,,,,,,,,,AR-654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Create a UI for creating and modifying groups of tags
User can enter ownership of tag group
User can create a group name
User can add and remove existing canonical collection tags to/from a group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziuof:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _09_IRATE MONK,RadioEdit _10_JETPLOW,RadioEdit _12_LANDSHARK,,,,,,,,,,2.0,,,,,,Yes,,,,,,,,,,,,,,"03/Jun/15 5:13 PM;tlong;new ""groups"" tab at bottom of content application

create group

add tags

notify importer or manipulate API directly to create new groups/<NAME> and add relationships",,,,,,,,,
Primary market related tags,AR-652,103506,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,17/May/15 11:48 AM,22/May/15 2:33 PM,03/May/19 9:53 AM,22/May/15 2:33 PM,,,Tags,,,,,,0,,As a user I only want to Primary Market for a station to be added as a related tag when tagging content with station ownership so that the list is more manageable and in line with business structure.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When adding a station tag to content ownership field, use only the SMT  Primary Market for that station as the related tag.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzold3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"18/May/15 4:09 PM;1110204;content tool
",,,,,,,,,
Tag Name Display for avoiding duplicate Names in Namespace,AR-651,103504,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,17/May/15 11:40 AM,13/Jan/17 2:05 PM,03/May/19 9:53 AM,27/May/15 1:58 PM,,,Buckets,Developer,Tags,Users,z-Collections (DEPRECATED),,0,,As a user I want to easily choose between tags of the same name (i.e. artists of the same name but from different genres) so that selecting the correct tag is easy,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On tag creation use name as unique ID
On tag creation use source.name as tag display name
Display the 2 different name fields in tag search

Formats:
Brand: Namespace/Station/Call Letters - Brand/Z100 (WHTZ-FM)
(format just like current station tags but namespace is Brand and not pulled from SMT)

Stream: Namespace/Station/Stream ID -  Stream/Z100-1469
(Rename Stations namespace to Streams. Display with iHeart stream ID)

Artist: Namespace/Artist Name/Artist ID - Artist/Weezer-15720
(Display iHeart catalog ID along with artist name)

Collection: Namespace/Collection Name/Ownership - Collection/Local News - Z100 (WHTZ-FM)
(Collections will need an ownership, display ownership on collection tag to help users choose the correct collection. There will be many with similar news like Local News)

Genre: Namespace/Genre Name - Genre/Rock

Market: Namespace/Primary Market - Market/New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzole7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Republishing by non-owners,AR-649,103501,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,howella,1110204,1110204,17/May/15 11:13 AM,10/Jul/15 7:11 PM,03/May/19 9:53 AM,10/Jul/15 7:11 PM,,,,,,,,,0,,As a user I want to republish content that I do not have ownership to so that it appears in my collection,,1110204,amamut,aroberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-605,,,,,,,,,,,"Allow non-owners to add publishing targets to any piece of content and have that content display in their collection.
Non owners should not be able to edit content/ownership/scheduled dates or other tags.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbk5b:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _09_IRATE MONK,RadioEdit _11_KONGUR,,,,,,,,,,,2.0,,,,,,Yes,,,,,,,,,,,,,,18/May/15 3:51 PM;1110204;Errors in original content might cause issue for republishers since content will not be synced with original.,19/May/15 9:39 AM;1110204;that comment is old - ignore,27/May/15 3:35 PM;amamut;This issue should be resolved by AR-684.,"28/May/15 4:57 PM;aroberts;This issue is not resolved by AR-684, but does require it, as non-owners will not be able to save changes to the publish targets. This will require a script to partially bypass security.",,,,,,
"Various combinations of actions in assets app seems to hang app in a ""loading state""",AR-647,103373,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,aroberts,aroberts,14/May/15 10:40 AM,20/May/15 3:02 PM,03/May/19 9:53 AM,20/May/15 3:02 PM,,,,,,,,,0,,,,aroberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Figure out what is causing the app to ""hang"", and prevent it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpqiv:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _07_GODSURGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMT Tool URL Modifications,AR-646,103347,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,gvilches,ccrnyc1rrs,ccrnyc1rrs,13/May/15 5:27 PM,08/Jun/15 8:11 PM,03/May/19 9:53 AM,03/Jun/15 6:59 PM,,,,,,,,,0,,"As a the content team, we need some url structures changed in the CMT tool due to the move from L3 to Akamai so that everything isn't breaking.",,1111408,bbennett,cccnyc1cma,cccpeo1ajz,ccrnyc1rrs,,,,,,,,,,,,,,,AR-755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. All image paths -- artist images and cover art should strip ""http://assets.iheart.com"" and ""http//cdn.thumbplay.com"".  Instead, all urls should be preceded wtih ""akstream.iheart.com""
2. On the Audio Files for track pages in the ""Track Content"" section, only content type 1 will be shown.  The other content types are no longer hosted
3. All play link urls should be preceded with ""akstream2.iheart.com.  This includes: (1) the play button in the title of the track page, (2) the link in the Track Content section, the play button in the Tracks section of the Track Bundle page
4. The ""(open current)"" link on the Audio Files section of the Track page should be removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbos7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relay needs to decouple instance records,AR-644,103276,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,tterry,tterry,13/May/15 11:53 AM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,20/May/15 5:35 PM,Link Platform Release,Link Platform Release,,,,,,,0,,"When starting an instance, decide which host to use, then create the instance record in a stopped state. Allow the state sync to bring up the docker container separately and link them.",,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbo5j:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
env vars are not added to the container when an instance is run,AR-643,103262,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,tterry,tterry,13/May/15 9:59 AM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,14/May/15 9:15 AM,Link Platform Release,Link Platform Release,Infrastructure,,,,,,0,,,,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpqin:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _07_GODSURGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update assets tool to use new media service,AR-641,103206,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,aroberts,aroberts,12/May/15 3:52 PM,18/May/15 4:36 PM,03/May/19 9:53 AM,18/May/15 4:36 PM,,,,,,,,,0,,Update the assets tool to use the newly developed media service,,aroberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziuin:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _07_GODSURGE,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay sending 500 on instance stop during reap deploy,AR-640,103200,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,mbrown,mbrown,12/May/15 3:35 PM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,13/May/15 9:57 AM,Link Platform Release,Link Platform Release,Infrastructure,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpqcv:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _07_GODSURGE,,,,,,,,,,,"1. reap --debug deploy <appid>
2. [apparently] successful build, start, set-primary
3. stop results in empty 500 from relay
4. stop actually succeeded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move SMT out of the Default bucket,AR-639,103199,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,amamut,amamut,12/May/15 3:27 PM,15/Aug/17 3:13 PM,03/May/19 9:53 AM,15/Aug/17 3:13 PM,,,Streams,,,,,,0,,Move SMT out of the Default bucket so that all of its resources live inside of the SMT bucket. This will require work from AMP to not pull genres from RadioEdit but instead allow for RadioEdit to feed AMP the proper data. Will also require help from the RadioEdit team to move stream resources while still maintaining the history for each resource.,,amamut,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzblrr:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay does not add creating user as admin on app create,AR-638,103168,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,mbrown,mbrown,12/May/15 11:38 AM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,18/May/15 5:06 PM,Link Platform Release,Link Platform Release,Infrastructure,,,,,,0,,Alex created an app in developer and wasn't able to view it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpprr:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _07_GODSURGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
